angle_deg,shared_amplitude,checkerboard_amplitude
-80.7,0.0196123984432791,0.039707314512937
-80.65,0.0194819517318985,0.0394586413948537
-80.6,0.0193498301697697,0.0392064635694789
-80.55,0.0192160251013247,0.0389507577601986
-80.5,0.0190805280597859,0.0386915009909358
-80.45,0.0189433307723243,0.0384286705967015
-80.4,0.0188044251652695,0.0381622442342783
-80.35,0.0186638033693486,0.0378921998930155
-80.3,0.0185214577249824,0.0376185159057555
-80.25,0.0183773807876153,0.0373411709598784
-80.2,0.0182315653330828,0.0370601441084633
-80.15,0.0180840043630293,0.0367754147815805
-80.1,0.017934691110356,0.0364869627976936
-80.05,0.0177836190447095,0.036194768375185
-80,0.017630781878014,0.0358988121439984
-79.95,0.0174761735700298,0.0355990751573964
-79.9,0.0173197883339561,0.0352955389038363
-79.85,0.0171616206420647,0.0349881853189625
-79.8,0.017001665231369,0.034676996797706
-79.75,0.0168399171093228,0.0343619562065022
-79.7,0.0166763715595537,0.0340430468956173
-79.65,0.0165110241476299,0.0337202527115843
-79.6,0.0163438707268452,0.0333935580097481
-79.55,0.0161749074440475,0.0330629476669183
-79.5,0.0160041307454792,0.0327284070941209
-79.45,0.0158315373826556,0.032389922249463
-79.4,0.0156571244182596,0.0320474796510923
-79.35,0.0154808892320645,0.0317010663902585
-79.3,0.0153028295268725,0.0313506701444683
-79.25,0.01512294333448,0.0309962791907489
-79.2,0.0149412290216601,0.0306378824189876
-79.15,0.0147576852961547,0.0302754693453775
-79.1,0.0145723112126936,0.0299090301259417
-79.05,0.0143851061790225,0.0295385555701578
-79,0.0141960699619422,0.0291640371546508
-78.95,0.0140052026933551,0.0287854670369782
-78.9,0.0138125048763363,0.0284028380694949
-78.85,0.0136179773911892,0.0280161438132877
-78.8,0.0134216215015276,0.0276253785521932
-78.75,0.0132234388603459,0.0272305373068756
-78.7,0.0130234315161027,0.026831615848983
-78.65,0.0128216019187958,0.0264286107153621
-78.6,0.0126179529260382,0.0260215192223361
-78.55,0.0124124878091304,0.0256103394800391
-78.5,0.0122052102591289,0.0251950704068147
-78.45,0.0119961243928982,0.02477571174365
-78.4,0.0117852347591606,0.0243522640686734
-78.35,0.0115725463445335,0.0239247288116872
-78.3,0.0113580645795402,0.0234931082687419
-78.25,0.0111417953446192,0.0230574056167516
-78.2,0.0109237449761042,0.0226176249281364
-78.15,0.0107039202721837,0.0221737711854965
-78.1,0.0104823284988386,0.0217258502963096
-78.05,0.0102589773957484,0.0212738691076464
-78,0.0100338751821766,0.0208178354209069
-77.95,0.00980703056281189,0.0203577580065598
-77.9,0.00957845273358679,0.0198936466188959
-77.85,0.00934815138745291,0.0194255120107752
-77.8,0.00911613672011598,0.0189533659483804
-77.75,0.00888241943573067,0.0184772212259502
-77.7,0.00864701075255107,0.0179970916805096
-77.65,0.0084099224085271,0.0175129922065751
-77.6,0.00817116666685624,0.017024938770835
